SognName,SognDigDagID,AmtName,AmtDigDagID,StartDate,EndDate
Randbøl Sogn,114420,Vejle Amt,118849,1750-01-01,1950-01-01
Rynkeby Sogn,114473,Odensegård Amt,118800,1750-01-01,1809-05-01
Rynkeby Sogn,114473,Odense Amt,118809,1809-05-01,1950-01-01
Ringkøbing Sogn,114439,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Niløse Sogn,114300,Holbæk Amt,118775,1750-01-01,1801-08-27
Niløse Sogn,114300,Holbæk Amt,118779,1801-08-27,1950-01-01
Nimtofte Sogn,114302,Randers Amt,118842,1750-01-01,1950-01-01
Rødby Sogn,114477,Ålholm Amt,137442,1750-01-01,1803-05-25
Rødby Sogn,114477,Maribo Amt,118799,1803-05-25,1950-01-01
Nordlunde Sogn,114306,Halsteds Klosters Amt,118796,1750-01-01,1803-05-25
Nordlunde Sogn,114306,Maribo Amt,118799,1803-05-25,1950-01-01
Nordrupvester Sogn,114307,Sorø Amt,118785,1750-01-01,1950-01-01
Nørre Kirkeby Sogn,114350,Nykøbing Amt,118793,1750-01-01,1803-05-25
Nørre Kirkeby Sogn,114350,Maribo Amt,118799,1803-05-25,1950-01-01
Nykøbing F Sogn,114315,Nykøbing Amt,118793,1750-01-01,1803-05-25
Nykøbing F Sogn,114315,Maribo Amt,118799,1803-05-25,1950-01-01
Nykøbing M Sogn,114316,Thisted Amt,118826,1750-01-01,1950-01-01
Nyord Sogn,114319,Præstø Amt,118791,1750-01-01,1950-01-01
Næstelsø Sogn,114329,Vordingborg Amt,118787,1750-01-01,1803-05-25
Næstelsø Sogn,114329,Præstø Amt,118791,1803-05-25,1950-01-01
Næsborg Sogn,114325,Ålborg Amt,118819,1750-01-01,1950-01-01
Sankt Peders Sogn,114549,Vordingborg Amt,118787,1750-01-01,1803-05-25
Sankt Peders Sogn,114549,Præstø Amt,118791,1803-05-25,1950-01-01
Nørre Bork Sogn,114341,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Nølev Sogn,114332,Århus Amt,118846,1750-01-01,1950-01-01
Nørager Sogn,114333,Randers Amt,118842,1750-01-01,1950-01-01
Nørbæk Sogn,114334,Viborg Amt,118830,1750-01-01,1950-01-01
Nørholm Sogn,114335,Ålborg Amt,118819,1750-01-01,1950-01-01
Sankt Matthæus Sogn,114533,Staden København,370922,1750-01-01,1950-01-01
Nørre Asmindrup Sogn,114339,Dragsholm Amt,118774,1750-01-01,1801-08-27
Nørre Asmindrup Sogn,114339,Holbæk Amt,118779,1801-08-27,1950-01-01
Sparkær Sogn,114342,Viborg Amt,118830,1750-01-01,1950-01-01
Nørre Jernløse Sogn,114349,Holbæk Amt,118775,1750-01-01,1801-08-27
Nørre Jernløse Sogn,114349,Holbæk Amt,118779,1801-08-27,1950-01-01
Nørre Onsild Sogn,114357,Randers Amt,118842,1750-01-01,1950-01-01
Nørre Vinge Sogn,114363,Viborg Amt,118830,1750-01-01,1950-01-01
Ordrup Sogn,114386,Københavns Amt,118762,1750-01-01,1950-01-01
Nørre Ørslev Sogn,114365,Nykøbing Amt,118793,1750-01-01,1803-05-25
Nørre Ørslev Sogn,114365,Maribo Amt,118799,1803-05-25,1950-01-01
Nøvling Sogn,114372,Ålborg Amt,118819,1750-01-01,1950-01-01
Omø Sogn,114382,Sorø Amt,118785,1750-01-01,1950-01-01
Nøvling Sogn,114373,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Struer Sogn,114733,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Orte Sogn,114389,Assens Amt,118806,1750-01-01,1809-05-01
Orte Sogn,114389,Odense Amt,118809,1809-05-01,1950-01-01
Ottestrup Sogn,114393,Sorø Amt,118785,1750-01-01,1950-01-01
Skinnerup Sogn,114621,Thisted Amt,118826,1750-01-01,1950-01-01
Rakkeby Sogn,114414,Hjørring Amt,118820,1750-01-01,1950-01-01
Ramløse Sogn,114417,Kronborg Amt,118765,1750-01-01,1805-03-20
Ramløse Sogn,114417,Frederiksborg Amt,118771,1805-03-20,1950-01-01
Randlev Sogn,114421,Århus Amt,118846,1750-01-01,1950-01-01
Ranum Sogn,114422,Århus Amt,118846,1750-01-01,1950-01-01
Redsted Sogn,114426,Thisted Amt,118826,1750-01-01,1950-01-01
Reerslev Sogn,114427,Roskilde Amt,118763,1750-01-01,1808-09-02
Reerslev Sogn,114427,Københavns Amt,118762,1808-09-02,1950-01-01
Reerslev Sogn,114428,Sæbygård Amt,118773,1750-01-01,1801-08-27
Reerslev Sogn,114428,Holbæk Amt,118779,1801-08-27,1950-01-01
Rindum Sogn,114436,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Sankt Pauls Sogn,114546,Staden København,370922,1750-01-01,1950-01-01
Romdrup Sogn,114451,Ålborg Amt,118819,1750-01-01,1950-01-01
Rubjerg Sogn,114462,Hjørring Amt,118820,1750-01-01,1950-01-01
Rud Sogn,114463,Randers Amt,118842,1750-01-01,1950-01-01
Rudkøbing Sogn,114464,Svendborg Amt,118813,1750-01-01,1950-01-01
Rønbjerg Sogn,114483,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Rønnebæk Sogn,114485,Vordingborg Amt,118787,1750-01-01,1803-05-25
Rønnebæk Sogn,114485,Præstø Amt,118791,1803-05-25,1950-01-01
Råbjerg Sogn,114493,Hjørring Amt,118820,1750-01-01,1950-01-01
Øde Førslev Sogn,114503,Sorø Amt,118785,1750-01-01,1950-01-01
Sall Sogn,114504,Viborg Amt,118830,1750-01-01,1950-01-01
Sankt Johannes Sogn,114519,Staden København,370922,1750-01-01,1950-01-01
Sankt Johannes Sogn,114521,Århus Amt,118846,1750-01-01,1950-01-01
Sankt Mariæ Sogn,114529,Frederiksborg Amt,118771,1750-01-01,1950-01-01
Sankt Pauls Sogn,114547,Århus Amt,118846,1750-01-01,1950-01-01
Sankt Michaelis Sogn,114534,Vejle Amt,118849,1750-01-01,1950-01-01
Sankt Nikolai Sogn,114540,Vejle Amt,118849,1750-01-01,1950-01-01
Sankt Olai Sogn,114544,Kronborg Amt,118765,1750-01-01,1805-03-20
Sankt Olai Sogn,114544,Frederiksborg Amt,118771,1805-03-20,1950-01-01
Sejlstrup Sogn,114562,Hjørring Amt,118820,1750-01-01,1950-01-01
Sigersted Sogn,114574,Sorø Amt,118785,1750-01-01,1950-01-01
Sir Sogn,114587,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Skast Sogn,114593,Ribe Amt,118855,1750-01-01,1950-01-01
Skovshoved Sogn,114640,Ribe Amt,118855,1750-01-01,1950-01-01
Salling Sogn,114605,Ålborg Amt,118819,1750-01-01,1950-01-01
Skarrild Sogn,114607,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Skejby Sogn,114609,Århus Amt,118846,1750-01-01,1950-01-01
Skørpinge Sogn,114655,Sorø Amt,118785,1750-01-01,1950-01-01
Skjoldborg Sogn,114630,Thisted Amt,118826,1750-01-01,1950-01-01
Skovby Sogn,114636,Århus Amt,118846,1750-01-01,1950-01-01
Skovlænge Sogn,114639,Halsteds Klosters Amt,118796,1750-01-01,1803-05-25
Skovlænge Sogn,114639,Maribo Amt,118799,1803-05-25,1950-01-01
Sankt Ibs Sogn,114643,Roskilde Amt,118763,1750-01-01,1808-09-02
Slots Bjergby Sogn,114664,Sorø Amt,118785,1750-01-01,1950-01-01
Skyum Sogn,114646,Thisted Amt,118826,1750-01-01,1950-01-01
Skævinge Sogn,114652,Frederiksborg Amt,118766,1750-01-01,1805-03-20
Skævinge Sogn,114652,Frederiksborg Amt,118771,1805-03-20,1950-01-01
Snæbum Sogn,114677,Randers Amt,118842,1750-01-01,1950-01-01
Skørringe Sogn,114657,Ålholm Amt,137442,1750-01-01,1803-05-25
Skørringe Sogn,114657,Maribo Amt,118799,1803-05-25,1950-01-01
Slaglille Sogn,114660,Sorø Amt,118785,1750-01-01,1950-01-01
Slagslunde Sogn,114661,Frederiksborg Amt,118766,1750-01-01,1805-03-20
Slagslunde Sogn,114661,Frederiksborg Amt,118771,1805-03-20,1950-01-01
Slemminge Sogn,114663,Ålholm Amt,137442,1750-01-01,1803-05-25
Slemminge Sogn,114663,Maribo Amt,118799,1803-05-25,1950-01-01
Strellev Sogn,114731,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Snedsted Sogn,114670,Thisted Amt,118826,1750-01-01,1950-01-01
Sneslev Sogn,114673,Sorø Amt,118785,1750-01-01,1950-01-01
Snoldelev Sogn,114675,Roskilde Amt,118763,1750-01-01,1808-09-02
Snoldelev Sogn,114675,Københavns Amt,118762,1808-09-02,1950-01-01
Snostrup Sogn,114676,Frederiksborg Amt,118766,1750-01-01,1805-03-20
Snostrup Sogn,114676,Frederiksborg Amt,118771,1805-03-20,1950-01-01
Solrød Sogn,114684,Roskilde Amt,118763,1750-01-01,1808-09-02
Solrød Sogn,114684,Københavns Amt,118762,1808-09-02,1950-01-01
Stubbekøbing Sogn,114737,Nykøbing Amt,118793,1750-01-01,1803-05-25
Stubbekøbing Sogn,114737,Maribo Amt,118799,1803-05-25,1950-01-01
Sorø Sogn,114688,Sorø Amt,118785,1750-01-01,1950-01-01
Spentrup Sogn,114689,Randers Amt,118842,1750-01-01,1950-01-01
Spjellerup Sogn,114690,Tryggevælde Amt,118786,1750-01-01,1803-05-25
Spjellerup Sogn,114690,Præstø Amt,118791,1803-05-25,1950-01-01
Spørring Sogn,114692,Århus Amt,118846,1750-01-01,1950-01-01
Stagstrup Sogn,114696,Thisted Amt,118826,1750-01-01,1950-01-01
Stenum Sogn,114709,Hjørring Amt,118820,1750-01-01,1950-01-01
Store Fuglede Sogn,114721,Kalundborg Amt,118772,1750-01-01,1801-08-27
Store Fuglede Sogn,114721,Holbæk Amt,118779,1801-08-27,1950-01-01
Stilling Sogn,114713,Århus Amt,118846,1750-01-01,1824-07-01
Stilling Sogn,114713,Skanderborg Amt,118847,1824-07-01,1867-08-01
Stilling Sogn,114713,Århus Amt,118846,1867-08-01,1950-01-01
Store Heddinge Sogn,114722,Tryggevælde Amt,118786,1750-01-01,1803-05-25
Store Heddinge Sogn,114722,Præstø Amt,118791,1803-05-25,1950-01-01
Svinninge Sogn,114754,Holbæk Amt,118775,1750-01-01,1801-08-27
Svinninge Sogn,114754,Holbæk Amt,118779,1801-08-27,1950-01-01
Store Magleby Sogn,114723,Københavns Amt,118762,1750-01-01,1950-01-01
Støvring Sogn,114740,Randers Amt,118842,1750-01-01,1950-01-01
Sundby Sogn,114743,Thisted Amt,118826,1750-01-01,1950-01-01
Svenstrup Sogn,114750,Ålborg Amt,118819,1750-01-01,1950-01-01
Svogerslev Sogn,114755,Roskilde Amt,118763,1750-01-01,1808-09-02
Svogerslev Sogn,114755,Københavns Amt,118762,1808-09-02,1950-01-01
Sværdborg Sogn,114757,Vordingborg Amt,118787,1750-01-01,1803-05-25
Sværdborg Sogn,114757,Præstø Amt,118791,1803-05-25,1950-01-01
